Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
ARIH1,uc002aut.3,50.2,54.6,50.8,1845,3348,2446
DTNB,uc002rgh.2,5.5,5.2,4.8,234,356,262
SUMF1,uc003bpz.1,101.9,96.4,89.7,2477,4022,2884
WIPI2,uc003snx.2,126,132.4,123.1,3458,6312,4503
CCDC91,uc001riq.2,32.2,39.5,36.7,952,1929,1397
TSFM,uc001sqi.2,100.5,121.1,112.6,2106,4368,3136
SCCPDH,uc001ibr.2,150.4,188.8,175.6,4278,9143,6493
TAF1D,uc001ped.2,186,211.3,196.5,3472,6387,4669
HAGH,uc002cna.2,127.5,119.4,111,2487,4047,2930
TBC1D23,uc003dts.2,44.7,54.8,51,2047,4270,3021
CCDC85B,uc001ogf.2,210,116.9,108.7,2667,2544,1861
QRICH2,uc002jrd.1,2.2,2.5,2.3,240,462,332
ATP8B1,uc002lgw.2,60.9,56.2,52.2,5062,7940,5682
CKB,uc001ynf.1,6.5,4.9,4.5,163,201,148
C6orf225,uc003pvs.2,37.7,48.1,44.7,189,407,289
GPR107,uc004bzd.2,39.1,39.2,36.4,1446,2396,1738
SLC22A5,uc003kww.3,9.8,10.5,9.7,348,635,461
SETD2,uc003cqs.2,22.2,25.5,23.7,3890,7315,5298
MCM6,uc002tuw.2,31.9,62.9,58.4,1757,5572,4165
PBRM1,uc003der.2,20,21.6,20.1,2181,3815,2804
MRPS16,uc001jts.1,190.6,207.1,192.4,1246,2406,1715
BFAR,uc002dco.2,98.5,100.3,93.2,2915,4991,3618
OGDH,uc003tln.2,55.1,47.8,44.4,3729,5278,3943
RB1CC1,uc003xre.3,31,43.6,40.5,3410,7890,5623
ECI1,uc002cpr.2,257.9,199,184.8,4904,6495,4778
PCGF3,uc003gbe.2,38.9,43.1,40,608,1142,825
TRMT11,uc003qam.2,25.1,33.8,31.3,722,1683,1188
MED19,uc001nlb.2,39.2,45,41.7,484,951,686
PYGB,uc002wup.2,333.9,304,282.2,17336,27881,20111
RECQL,uc001rex.2,119.6,187.1,173.7,4878,12736,9037
ADAL,uc010udo.1,9.4,8.8,8.2,204,317,230
MMACHC,uc009vxv.2,9.7,9.5,8.8,174,284,213
LRP3,uc010edh.2,35.2,34.3,31.8,1715,3040,2124
KCNK1,uc010pxo.1,5.7,6.6,6.2,127,243,178
FTSJ1,uc004djo.1,111.9,106.9,99.2,2350,3864,2801
PPP1R12A,uc001syz.2,54.8,63.9,59.3,3769,7333,5303
CHCHD5,uc002thz.1,49.7,44.7,41.5,344,518,377
MPHOSPH10,uc002sht.1,19.2,26.3,24.4,835,1903,1384
RFXANK,uc002nls.2,86.5,84.5,78.4,1437,2407,1740
PIK3CD,uc001aqb.3,5.3,2.8,2.6,350,327,238
METTL5,uc002ufn.2,127.7,192.5,178.6,1471,3808,2700
USP8,uc001zyl.3,15.9,16.9,15.7,1074,1943,1399
SHKBP1,uc002oob.2,82.5,72.6,67.3,3749,5743,4124
APEH,uc003cxf.2,150.4,144.5,134,7137,11819,8498
RFTN1,uc003cay.2,38.7,34.8,32.3,1438,2183,1601
SND1,uc003vmi.2,283.5,290.5,269.4,17079,29757,21290
ADA,uc002xmj.2,9,10.5,9.7,214,424,303
C2orf42,uc002sgh.2,10.1,10.7,9.9,387,682,492
KDM1A,uc001bgj.2,116.1,140.5,130.3,6701,13621,9872
MRPL16,uc001noh.2,94.3,116.5,108,1538,3212,2313
SNRNP40,uc009vtt.2,50.7,83,77,559,1560,1104
AZI2,uc003ceb.2,45.5,62,57.5,1162,2685,1891
C19orf60,uc010ebs.2,94.3,65.5,60.7,1038,1241,917
UFL1,uc003por.2,37.4,51.4,47.7,2014,4601,3282
SHMT2,uc001snf.1,812.2,780.5,723.3,26271,43401,31456
MOB3A,uc002luv.2,16.9,12.7,11.7,236,298,216
NDUFS7,uc002lse.3,145.2,148.1,137.2,1940,3412,2483
ADAM9,uc003xmr.2,481.9,562.8,521.5,26242,50936,37055
U2SURP,uc003evh.1,71.3,120.1,111.2,4664,13208,9409
C21orf2,uc002zep.2,31.2,24.1,22.3,505,667,487
SNX33,uc002bau.2,25.9,14.5,13.4,968,880,667
RETSAT,uc002spd.2,39.4,29.6,27.4,1549,1967,1416
SMAGP,uc001rye.1,90.3,99,91.8,552,1005,730
SCFD2,uc003gzu.2,11.1,16.1,14.9,501,1223,886
RPS6KB2,uc001old.2,75.8,80,74.2,2341,4267,3083
HCFC2,uc001tkj.3,9,11.4,10.6,482,1027,728
RBM4B,uc001ojb.2,12.1,7.9,7.3,217,242,173
NOX4,uc001pct.2,3.1,4.1,3.8,123,256,188
LHPP,uc001lhs.1,23.3,16.7,15.5,409,493,357
ATAD3A,uc001afz.1,7.8,8.2,7.6,242,446,322
PSEN2,uc009xeo.1,25.4,27.5,25.4,733,1373,982
WBP11,uc001rci.2,36.2,36.4,33.7,1180,2045,1483
BIRC6,uc010ezu.2,14.7,16.6,15.4,4863,9143,6520
ME1,uc003pjy.2,25.9,32.9,30.5,998,2152,1506
TSPAN10,uc010die.2,19.6,11.5,10.7,439,444,323
REPS2,uc004cxv.1,5.5,4.1,3.8,245,287,215
CNOT2,uc001svv.2,54.3,72.7,67.4,1968,4329,3143
NHLRC2,uc001lax.1,12.5,15,13.8,619,1198,872
IMMP2L,uc003vfq.1,17.4,16,14.8,196,299,219
FNBP1,uc004byw.1,22.1,24.7,22.8,913,1689,1219
CAP2,uc003ncb.2,27.6,38.6,35.7,860,1993,1444
APOBEC3B,uc003awo.1,21.2,24,22.2,450,852,615
APLP2,uc010sby.1,1070.3,947.7,876.9,53314,79799,57630
AP1B1,uc003afj.2,33.1,32.3,29.9,2007,3345,2438
HSF1,uc003zbt.3,119.9,98.4,91.1,4044,5755,4163
PHF10,uc011egy.1,10.2,8.5,7.8,303,438,314
OAS3,uc001tug.2,18.1,15.1,14,1298,1764,1321
NUCKS1,uc001hdb.2,303.9,336.4,311.2,3893,7228,5260
APBB1,uc001mdc.1,47.9,39.3,36.4,2198,3017,2211
FUCA2,uc003qjm.2,133.2,158.2,146.3,4124,8256,5898
PI4KA,uc002zsz.3,6.6,7.3,6.8,882,1620,1180
ACTR10,uc001xdf.2,49.3,71.6,66.2,1384,3412,2380
G6PD,uc004flx.1,282.7,226.7,209.7,9808,13863,9874
DKC1,uc004fmm.2,155.1,233.5,215.9,5210,13239,9590
RAB3GAP2,uc010puk.1,29.4,35,32.4,2775,5492,3928
ASNS,uc003uov.3,453.9,559.7,517.5,8032,18019,12538
AIP,uc001olv.2,102.2,96.7,89.4,2165,3544,2532
PAF1,uc002old.2,73.5,74.9,69.2,2547,4296,3176
ERAP1,uc003kml.2,61.3,57.2,52.8,3903,6019,4346
FOXJ3,uc001chf.2,14.8,15.9,14.7,626,1090,792
USP46,uc003gzn.2,20.3,28,25.9,501,1126,814
ADPRHL2,uc001bzt.2,55.3,44.6,41.2,1278,1788,1286
GDI1,uc004fli.3,204.5,198.5,183.5,5866,9574,7033
AK5,uc001dhn.2,44.8,53.3,49.2,1698,3247,2392
CIZ1,uc004btt.2,94.9,88.3,81.6,5528,8687,6305
LMAN2L,uc002swv.2,53,60.5,55.9,1248,2402,1725
STK3,uc003yip.2,17.4,24.9,23,569,1359,973
IDH1,uc002vcu.2,44,54.7,50.6,951,2116,1473
MEST,uc003vqg.2,119.6,126.5,116.9,1493,2682,1922
TCTN3,uc001klb.3,92.6,103.5,95.6,3752,7038,5022
LARS,uc003lnx.1,202,265.3,244.9,15734,34617,24787
PIGK,uc001dhk.2,70.9,119.2,110,1892,5357,3742
THOC3,uc003mdg.3,16.5,13.1,12.1,174,266,184
MAPKAPK5,uc001tta.2,66,92.7,85.6,2070,4834,3492
GMPR2,uc001wnw.2,122.2,137.6,127,2805,5271,3795
SLC7A11,uc011chb.1,21.7,25.2,23.3,715,1418,1006
STK35,uc002wfw.3,23.4,22.4,20.6,598,992,713
MCMBP,uc001ler.2,107.7,180,166.1,4621,13060,9240
PLCG1,uc002xjo.1,43,34.6,31.9,3631,4887,3579
MON1B,uc002fez.2,54.3,30.8,28.4,1876,1786,1341
CDC40,uc003pua.2,22.7,29.5,27.2,881,1897,1364
PIAS4,uc002lzg.2,25.4,19.7,18.2,825,1095,799
UPF2,uc001ilb.2,11.6,11.9,10.9,1003,1677,1211
TRIT1,uc010oiz.1,38.4,46.8,43.1,1187,2413,1737
DYRK1B,uc002omj.2,17,6.2,5.7,691,429,310
C1orf9,uc001giq.3,23.1,27.6,25.4,1988,3836,2773
KCTD17,uc011amv.1,31.6,28.7,26.5,587,921,664
ATG5,uc003prf.2,63.3,104.7,96.5,1166,3248,2270
EFEMP2,uc001ofy.3,168.4,139.1,128.3,4898,6735,4900
ANKRD13D,uc001okc.1,56.3,53.1,49,1874,3031,2189
COPG2,uc003vqh.1,54.3,45.1,41.6,1456,1983,1434
ALKBH2,uc010sxj.1,37.5,39,36,622,1102,802
PINK1,uc001bdm.2,134.1,110,101.4,4987,7061,5097
ANKRD17,uc003hgp.2,30.8,33.2,30.6,5374,9719,6940
HDAC11,uc003bxy.2,19.9,12.5,11.5,444,472,344
KIAA1429,uc003ygo.1,35.9,45.6,42,4423,9339,6636
APEX1,uc001vxi.2,334.7,383.5,353.4,6886,13468,9637
HIPK1,uc001eem.2,13.2,15.6,14.4,1073,2141,1518
PAM,uc003knt.2,144.5,144,132.7,9416,15404,11095
SYT14,uc001hhs.3,5,6.9,6.4,206,490,339
NUPL2,uc003svu.2,42.1,68.9,63.4,1192,3275,2312
HOXB3,uc002ino.2,9,6.7,6.2,249,310,229
NUDT1,uc003slp.1,104.6,104.2,96,1180,1980,1451
ACOX1,uc002jqe.2,19.5,21.6,19.9,853,1597,1136
DDX41,uc003mho.2,132.9,143.3,132,5351,9922,7107
DRAM2,uc001ead.3,20.2,29.4,27.1,367,879,615
8-Mar,uc001jch.2,5.6,3.8,3.5,216,240,172
C21orf33,uc002zec.3,106.4,68.9,63.5,1813,1988,1453
TP53I3,uc002rez.1,36.2,28.2,25.9,786,1028,739
CEP104,uc001aky.2,20.6,23.9,22,1255,2450,1767
MAD2L1,uc003idl.2,36.3,36.9,34,174,328,224
TMEM242,uc003sih.3,28.1,31.1,28.6,222,431,306
ALG3,uc003fne.2,48.1,53.2,48.9,1326,2576,1817
EXOG,uc003cih.2,10.5,11.3,10.4,251,450,327
ERCC6,uc001jhs.3,10,7.5,6.9,1046,1240,894
C21orf56,uc011afu.1,22.9,16.6,15.2,493,621,445
CAPN7,uc003bzn.2,26.3,34,31.3,1459,3047,2206
MDP1,uc001wnl.1,44.7,46,42.3,499,887,629
PON2,uc003unv.2,126.4,200.3,184.3,3027,7947,5600
PTN,uc003vtq.2,41.2,48.8,44.9,453,877,636
DUS4L,uc003veh.2,37,44.5,41,777,1578,1114
STK39,uc002uea.2,78.9,73.3,67.4,2831,4368,3167
PTPN13,uc003hpy.2,4.9,5.9,5.5,842,1642,1187
UBXN4,uc002tur.2,139.3,155,142.6,4760,8775,6250
KIF1C,uc002gan.1,134.7,103.3,95,9354,12341,8957
ZNF133,uc010gcs.2,16.6,16.5,15.1,700,1206,853
C19orf29,uc002lyh.2,33.2,26.6,24.5,1595,2208,1607
FAM120A,uc004atw.2,116,112.2,103.1,8024,13096,9511
B3GALT6,uc001adk.2,47.1,30.3,27.9,955,1075,786
CERCAM,uc004buz.3,92.7,63.7,58.5,3528,4138,3007
USP30,uc010sxi.1,12.1,11.1,10.2,419,645,455
DEM1,uc001cfp.2,11.7,15.1,13.9,288,618,446
NOL11,uc002jgd.1,27.1,36.8,33.8,1069,2458,1758
VPS37C,uc001nqv.1,41.1,31.9,29.3,920,1212,893
TET2,uc003hxk.2,3.6,4.2,3.9,494,979,678
ATG10,uc003khr.2,10.6,12.7,11.7,156,305,218
ZNF766,uc002pyr.1,5.1,5.4,5,156,276,196
TMEM209,uc003vpn.2,31.4,36.2,33.2,1184,2239,1612
KIAA0754,uc009vvt.1,31.8,24.4,22.4,2917,3729,2691
SETMAR,uc011asp.1,3.5,3.8,3.5,151,274,201
DHDDS,uc001bmk.2,27.7,24.2,22.3,592,906,638
MPHOSPH8,uc001umh.2,13.1,13.3,12.2,725,1252,885
EPS15L1,uc002ndz.1,28.3,32.1,29.4,1608,3078,2208
BOK,uc002wbq.2,48.7,29.1,26.7,636,641,480
RNF121,uc001ora.2,41.4,39.6,36.4,878,1394,1020
TMEM173,uc003lep.2,119.3,89.2,81.9,2881,3819,2668
IPO11,uc011cqr.1,35.3,48.5,44.5,2431,5545,3927
PRKCD,uc003dgm.2,33.5,29.3,26.9,1469,2223,1575
SPTAN1,uc004bvm.3,91.1,82.5,75.7,14842,22517,16326
STAC,uc003cgh.1,26.2,25.3,23.2,692,1106,802
BCKDK,uc002eaw.3,99.7,82.9,76.1,2648,3800,2699
HAT1,uc002uhi.2,117.1,203.5,186.7,3311,9581,6712
PTPRF,uc001cjr.2,148.9,117,107.3,18408,24662,17766
NME3,uc002cmm.2,137,93.7,86,1447,1719,1224
CLN5,uc001vkc.2,21,23.2,21.3,569,1053,746
KLHL20,uc001gjc.2,20.8,23.8,21.8,843,1609,1151
DYSF,uc010fen.2,22.8,16.3,15,3140,3854,2765
NELF,uc004cna.2,116.5,115.2,105.6,3939,6798,4837
SUMF2,uc003trv.2,151.7,106.3,97.4,3425,3994,2945
FKBP5,uc003okx.2,21.6,25.4,23.3,649,1256,919
ZSCAN29,uc001zrk.1,7.1,7.2,6.6,402,674,488
ASH2L,uc003xkt.3,60.2,55.6,51,2425,3793,2729
PHGDH,uc001ehz.2,772.3,750.8,688.1,26278,43228,31676
SSX2IP,uc001dki.2,32.5,45.9,42.1,1315,3169,2218
IMP3,uc010bkl.1,136.4,128.3,117.5,1489,2490,1770
UBQLN1,uc004amv.2,134.6,163.7,150,5080,10296,7395
HNRNPAB,uc003miu.2,418,441.5,404.5,6435,11824,8579
KBTBD2,uc003tdb.2,48.3,60.4,55.3,2021,4203,2981
THAP3,uc001aoe.1,14.6,15.1,13.9,158,279,199
ASB7,uc002bwk.2,12.2,13.9,12.8,255,491,348
TMTC4,uc001vot.2,9.2,7.4,6.8,463,617,447
TM2D3,uc002bxi.2,19.6,23.6,21.6,319,654,454
CAMKK2,uc001tzv.2,55,46,42.1,2068,2971,2142
TTC8,uc001xxi.2,31.9,39.7,36.4,1097,2305,1618
SERPINB1,uc003mub.2,17.4,16.6,15.2,441,684,494
MTRR,uc003jed.2,40.7,61.7,56.5,1977,5121,3551
CCNDBP1,uc001zqv.2,130.5,158.1,144.7,3086,6487,4478
DPYSL3,uc003lon.1,136.6,136,124.5,5174,8398,6105
ATF7,uc001sdz.2,10.9,11.7,10.7,349,629,447
PFN2,uc003ext.1,413.5,465.8,426.4,3632,7111,4994
GTF2H1,uc001moh.2,50.1,64.6,59.1,1561,3446,2437
SNX12,uc004dyr.1,95.3,87.5,80.1,976,1512,1092
LNPEP,uc003kmw.1,11.1,13.6,12.4,764,1542,1093
TMEM128,uc003ghq.1,34.6,53.2,48.6,310,791,547
YY1,uc001ygy.1,95.8,105.8,96.8,2405,4519,3266
URI1,uc002nsr.2,84.7,107.5,98.3,2987,6467,4525
DDX49,uc002nkq.1,74.3,86.4,79.1,2282,4657,3296
NAE1,uc002eqf.2,201.6,331.8,303.5,7187,19783,13827
C14orf1,uc001xrt.2,44.1,52.4,47.9,397,811,560
CLIP3,uc002ocz.1,9.8,4.1,3.7,359,248,176
none,uc001frp.2,25.8,27.9,25.5,347,638,451
FAM125A,uc002ngo.1,40.6,31.9,29.1,712,938,680
WDR73,uc002bkw.2,49.9,59.1,54,1221,2513,1757
NOC4L,uc001ujz.1,62.4,59.8,54.7,2026,3333,2436
SERGEF,uc001mnm.2,25.9,24.9,22.8,789,1258,899
PPP1R21,uc002rwk.2,14.9,14,12.8,780,1195,856
DEPDC7,uc001mub.2,4.9,5.8,5.3,171,322,232
WDR54,uc002slb.2,177,159.6,145.9,3819,5767,4179
PDSS2,uc003prt.2,13.2,14.9,13.6,348,645,468
PIP5K1C,uc002lyj.1,20,14.3,13.1,850,1042,753
none,uc003tdk.2,6.2,6.2,5.7,114,205,142
FBXO7,uc003amq.2,47.3,58.4,53.3,1647,3436,2405
MLST8,uc002coz.2,91.1,80.4,73.5,1906,2817,2055
CCDC127,uc003jam.1,43.7,50.2,45.8,719,1391,992
ALDH3B1,uc001ona.2,18.8,10.5,9.5,508,474,346
ENPP1,uc011ecf.1,5.1,6.9,6.3,322,714,504
TMEM63B,uc003owr.2,20.1,16.5,15.1,1101,1549,1088
AP3S2,uc002bos.3,41,40.4,36.9,1072,1752,1252
FKBP10,uc002hxv.2,244.4,211.4,193,9224,13429,9715
EML1,uc001ygs.2,9.6,12.2,11.1,524,1077,788
TATDN3,uc001hjo.2,18.2,17.4,15.9,327,523,373
INTS9,uc003xha.2,16.2,16.1,14.7,694,1188,839
C20orf194,uc002wii.2,7.5,5.9,5.4,593,772,553
UNC50,uc002szc.3,62.1,85.7,78.3,1072,2461,1730
FTSJD1,uc010cga.2,39,61.8,56.4,2037,5496,3767
E2F3,uc003nda.2,10.5,9.6,8.7,296,480,336
APPL1,uc003dio.2,33.2,39.7,36.3,1590,3101,2229
TNPO3,uc003vol.1,58.8,53.4,48.7,3533,5262,3847
CDC16,uc001vul.1,81.6,96,87.6,3434,6608,4703
NOL8,uc004arv.2,15.7,16.3,14.9,1181,2025,1455
DDX59,uc009wzk.2,12.4,16.5,15.1,517,1154,807
TAF2,uc003you.2,19,26.2,23.9,1554,3461,2493
STIM1,uc001lyv.2,34.3,27.8,25.4,1511,2093,1506
YDJC,uc002zvb.2,117,92.4,84.3,2314,3313,2334
COL4A2,uc001vqx.2,92.4,73.6,67.2,10385,13898,10016
TMEM120B,uc001ubc.3,12.1,8,7.3,269,289,210
FBXW11,uc003mbm.1,57.1,62.1,56.6,1671,3145,2209
ZNHIT3,uc002hms.1,109.4,147.5,134.5,1093,2586,1752
SCARA3,uc003xga.1,54.1,44.3,40.4,2149,2883,2121
QRICH1,uc003cvv.2,33.9,37.6,34.3,1740,3249,2306
C3orf26,uc003dtl.2,103.4,162.9,148.5,1813,4823,3421
MBD3,uc002ltl.1,126.6,118,107.6,2319,3692,2676
DYRK4,uc001qmx.2,22.4,26.8,24.4,773,1568,1098
WAC,uc001iuf.2,52,60.8,55.4,2267,4328,3104
SGPL1,uc001jrm.2,16.2,14,12.8,616,881,627
NR1D2,uc003ccs.2,58.7,77.4,70.5,2284,4851,3533
SLC16A3,uc002kea.2,693.7,545,496.5,20194,27282,19715
IP6K1,uc003cxm.1,37.1,35,31.9,1070,1671,1214
11-Mar,uc003jfo.2,7.9,7.6,6.9,209,315,239
MFN2,uc009vni.2,92,106.1,96.6,4500,8924,6345
TALDO1,uc001lqz.2,507.9,543.7,495.2,10734,20171,14108
SSSCA1,uc001oek.2,95.9,108.4,98.7,1198,2382,1665
DNM2,uc002mpt.1,94.3,99,90.1,5272,9304,6713
RPAIN,uc010vsz.1,93.3,119.4,108.7,1382,3045,2137
MECP2,uc004fjw.2,29.9,23.6,21.4,957,1298,922
PRKACB,uc001djl.2,14.1,18.7,17,379,834,583
ZNF77,uc002lws.3,9.2,10.5,9.5,330,636,446
FGGY,uc009wac.2,7,6.4,5.8,268,406,288
CCDC9,uc010xym.1,28.8,17.9,16.3,964,1027,746
STX18,uc003gic.2,16.2,17.5,15.9,313,585,411
WDR91,uc003vsp.2,5,4,3.6,247,330,236
MESDC2,uc002bfy.1,85.3,95.7,87.1,1277,2446,1733
none,uc003xxi.2,8.6,10.9,9.9,726,1546,1085
FAT1,uc003izf.2,27.7,30.3,27.5,8536,15680,11014
CEP63,uc003eqo.1,15.2,18.3,16.7,728,1405,1015
C6orf62,uc003nel.2,145.9,166,150.9,2199,4243,2943
NXF1,uc001nvf.1,71.6,96.4,87.6,2942,6503,4689
CANT1,uc002jwk.2,85.7,73.7,67,2177,3233,2299
RRAS,uc002pop.1,146.1,91,82.7,2038,2149,1532
ARFGAP3,uc003bdd.2,44.3,46.9,42.6,1527,2688,1899
LACTB2,uc003xyp.2,45.8,65.6,59.6,868,2140,1469
FLJ23867,uc001god.3,41.5,31.1,28.3,318,406,289
HUWE1,uc004dsp.2,50.8,43,39.1,14817,20680,14910
LCMT1,uc002dnx.1,93.7,98.3,89.3,2036,3577,2560
PSPC1,uc001uml.2,61.6,68.8,62.5,1943,3647,2566
SRPX,uc004ddy.1,44.4,45.5,41.3,1372,2351,1655
L2HGDH,uc001wxu.2,10,11.1,10.1,304,555,404
C22orf13,uc003aah.2,35.6,34.7,31.5,545,908,644
MRPS11,uc002bml.2,108,129.4,117.5,1279,2675,1866
COG8,uc002ewy.2,46.5,46.7,42.4,1839,3218,2244
SEMA5A,uc003jek.2,3.6,3,2.7,270,355,255
PCOLCE2,uc003evd.2,10.9,16.2,14.7,302,724,526
CD109,uc003php.2,18.3,16.4,14.9,1836,2544,1873
FAM69A,uc001dpg.2,6.9,8.7,7.9,202,424,291
SLC12A8,uc003ehv.3,7,3.6,3.3,345,277,204
INPP5K,uc002fsr.2,29.8,23.3,21.2,857,1191,817
LRIG1,uc003dmx.2,15.6,11.9,10.8,1154,1438,1026
SARM1,uc010crl.1,25.5,19.6,17.8,1179,1550,1115
TRMT61A,uc010aws.2,74.4,77.8,70.6,899,1637,1172
TNFAIP2,uc001ymm.1,56.2,45.2,41,2367,3156,2324
MYH10,uc002gll.2,39.5,37,33.6,5181,7820,5760
DGKA,uc001sim.2,49.6,31.5,28.6,2359,2523,1818
MOGS,uc010ffj.2,63.3,39,35.3,3398,3602,2566
MCCC1,uc003fle.2,24.5,24,21.8,1193,1935,1369
DOPEY2,uc002yvg.2,5.9,4.9,4.5,894,1215,895
LAMA4,uc003pvu.2,68.7,53.6,48.6,8623,10621,7715
USE1,uc002nfo.2,47.9,46.6,42.2,791,1324,933
TAF15,uc002hkd.2,238.8,263.6,239,8745,16286,11660
XPOT,uc001ssb.2,59.1,52.5,47.5,1691,2633,1852
RSF1,uc001oyn.2,32.4,32.9,29.9,3160,5277,3745
SPOPL,uc002tvh.2,15.8,15.7,14.2,397,670,468
CTSF,uc001oip.2,53.5,34,30.8,1704,1859,1287
EIF2B2,uc001xrc.1,95.4,107.2,97.2,2169,4171,2931
C17orf75,uc002hhg.2,35.3,47.5,43.1,932,2119,1469
DNAJB12,uc001jta.2,64.2,58.4,52.9,1616,2518,1812
SPTBN1,uc002rxu.2,84.9,77.3,70.1,13269,20350,14427
FAM189B,uc001fjm.2,31.9,24.6,22.3,1369,1812,1288
ZER1,uc004bwa.1,26.4,22.3,20.2,1342,1905,1342
KCTD2,uc002jmp.2,19.5,15.6,14.2,329,453,316
BRD1,uc003biv.2,16.1,13.7,12.4,1113,1534,1138
EIF2B1,uc001ufm.2,84.3,105.3,95.4,1704,3571,2494
VPS11,uc010ryx.1,29.6,25.6,23.2,1826,2728,1890
MRPS18A,uc003ovy.1,57.9,56.8,51.5,674,1166,817
C1orf174,uc001alf.2,42.1,48.7,44.1,657,1280,915
TUBGCP2,uc001lmg.1,95,91.2,82.6,5585,9047,6469
MVD,uc002flg.1,57.2,46.4,42,1432,2018,1447
GSTZ1,uc001xtj.2,32,25.9,23.5,440,609,431
PLEKHG3,uc001xhp.2,26.3,17.5,15.8,2307,2592,1844
DARS2,uc001gjh.1,30.6,37.6,34.1,1342,2660,1905
SURF2,uc004cdi.2,49.8,56.6,51.2,808,1572,1119
TM7SF3,uc010sjl.1,68.7,72.9,66,2625,4661,3255
POLR2G,uc001nva.2,276.4,347.8,314.9,3054,6482,4567
SNRNP40,uc001bso.2,66.5,88.5,80.2,1223,2913,2007
HSPA8,uc001pyo.2,2849.9,2147.5,1943.6,12682,17964,12403
ZCCHC17,uc001bsp.1,91.6,115.1,104.1,1230,2708,1863
EXTL2,uc001dtk.1,22.1,34.3,31.1,474,1228,854
RAD54L2,uc011bdt.1,8,8.6,7.8,775,1400,994
NTHL1,uc002col.1,69.9,73.9,66.8,1382,2473,1787
SPATS2,uc001rud.2,66.4,68.7,62.2,2412,4118,2930
HIF1A,uc001xfq.2,174,227.8,206.1,9768,20503,14608
DBNDD1,uc002fqe.1,34.4,24.6,22.3,384,477,335
RNF149,uc002taz.1,52.5,49.1,44.4,1347,2150,1529
FAM171A2,uc002igs.2,6.7,4.6,4.2,363,428,301
WNT5A,uc003dhn.2,15.1,13.6,12.3,370,562,393
DEDD2,uc002osx.1,55.9,42,38,236,328,227
FBXO44,uc001asm.2,26.1,17.7,16,416,490,340
TMEM101,uc002ieu.2,95.6,97.3,88,1565,2785,1931
TMEM231,uc002fem.2,19,16.3,14.7,377,555,385
CCNH,uc003kjb.2,83.1,108.2,97.8,1714,3838,2651
KIAA1704,uc001uzq.2,32.3,41.2,37.2,741,1545,1086
RANBP2,uc002tem.3,12.9,15.1,13.6,2578,4874,3458
ELAC2,uc002gnz.3,74.1,83.6,75.5,3990,7569,5414
APAF1,uc001tfz.2,8.8,8.9,8,753,1257,870
LYPLAL1,uc001hlq.3,43.9,51.2,46.2,697,1331,930
PRPF31,uc002qdh.2,104.6,106.3,96,3340,5846,4139
DNAJC10,uc002uow.1,83.7,130.5,117.9,4548,11787,8110
STX7,uc003qdg.2,70.9,87.5,79,1215,2511,1761
ZNF444,uc002qmm.2,29.3,23.5,21.3,599,837,589
TMEM8B,uc003zyn.2,12.6,9,8.1,178,216,152
PGCP,uc003yhw.2,24.5,20.8,18.8,775,1080,764
AS3MT,uc001kwk.2,38.5,44.7,40.3,966,1824,1300
TARS2,uc001euq.2,23.4,16.4,14.8,1087,1252,923
ING3,uc003vjn.2,23.5,30.7,27.7,662,1419,997
TIGD6,uc003lrj.2,9,8.1,7.3,317,475,330
TXNDC15,uc003lac.1,55.6,51.3,46.3,1291,1987,1433
FARSA,uc002mvs.2,101.2,103.4,93.4,3239,5765,4096
MPRIP,uc002gqy.1,13,10.9,9.8,944,1414,981
GPS1,uc002kdl.1,150.9,154.1,139.1,4732,8282,5871
TMEM171,uc003kcm.2,5.2,6.1,5.5,105,229,152
C2CD3,uc001ouu.2,7.7,7.5,6.7,1015,1623,1154
TRAFD1,uc001ttp.2,41.9,52.9,47.7,1595,3451,2402
WAPAL,uc001kdo.2,53.7,71.5,64.5,4312,9455,6671
MSH6,uc002rwd.3,66.5,85.3,76.9,6123,12931,9108
GIGYF2,uc002vtk.3,31.5,29.8,26.9,2727,4248,3041
GCNT1,uc004akf.3,8.6,7.9,7.1,247,360,261
RPS6KC1,uc010ptr.1,16.3,16.2,14.6,1177,1931,1349
RBM14,uc001oit.2,60,62.4,56.2,2620,4495,3260
HINT3,uc003qal.3,20.6,21.6,19.5,249,422,300
ADAMTSL3,uc002bjz.3,1.6,1.6,1.5,172,301,217
SENP3,uc002ghm.2,123.4,135.7,122.3,4591,8599,6060
MYCBP,uc001ccs.2,26.7,31.7,28.5,152,312,222
LCORL,uc003gpq.2,7.4,7.9,7.1,157,263,193
MIF4GD,uc002jnp.2,41.3,33.6,30.3,679,942,661
TTC5,uc001vwt.2,29,27.1,24.4,821,1342,923
MVP,uc002dui.2,318.4,199,179.3,18362,19424,13888
CAV1,uc003vif.1,410.7,517.4,466.2,4839,10096,6999
COG6,uc001uxh.2,24.4,30.1,27.1,1087,2232,1538
DDX56,uc003tlg.2,147.7,163,146.9,4983,9521,6676
LOC729020,uc009xxi.2,15.5,15.9,14.3,151,282,190
MRPS6,uc002ytp.2,94.9,126.3,113.8,657,1549,1055
SLC25A11,uc002fzo.1,113.5,116.4,104.9,2281,3969,2823
UBL4A,uc004flo.2,107.4,107.1,96.5,1061,1832,1274
