Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
AK3,uc003ziq.1,44.7,39.8,46.7,496,779,701
RPL28,uc010ygb.1,768.7,569.4,668.3,4584,6156,5569
AXL,uc010ehj.2,534.9,380.2,446.2,30719,37042,34626
VAT1,uc002icm.1,102,59,69.3,2598,2498,2343
KBTBD4,uc001nfz.2,34.8,32.6,38.3,1235,1950,1767
PCYOX1,uc002sgn.3,34.1,25.1,29.5,1151,1381,1285
PIGP,uc002yvw.1,11.7,14.1,16.6,116,246,215
TMEM136,uc001pxg.2,27.9,26.4,31,267,434,385
LAP3,uc003gph.1,18,17.4,20.4,550,879,837
CYB5B,uc002exg.1,253.6,302.1,354.4,2341,4726,4256
BNIP3,uc001lkv.1,109.3,78,91.5,664,885,775
LYST,uc001hxj.2,2.1,1.7,2,555,726,655
AGAP3,uc003wjg.1,98,75.5,88.6,5725,7632,6999
RAPGEF2,uc003iqg.3,17.3,17.1,20.1,1734,2879,2618
CCDC59,uc001szp.3,21,26.9,31.5,256,565,514
AKAP11,uc001uys.1,16.4,14.8,17.4,2142,3082,2880
NEDD8,uc001wnn.2,313.3,415.2,486.8,640,1529,1348
CAPN2,uc001hob.3,415,402.8,472.3,18711,30749,28530
RRP7A,uc003bcq.2,33.9,27.5,32.2,412,603,549
FOXP4,uc003oql.2,33.1,30.2,35.5,1463,2275,2089
CD63,uc001shn.2,2913.6,2912.4,3413.8,41765,71771,65125
ZNF615,uc002pye.1,3.4,3.3,3.9,169,267,243
H2AFZ,uc003hvo.1,479.5,314,368,820,1003,911
NHP2L1,uc003bav.2,146.9,204.3,239.5,773,1886,1682
MRPL49,uc001oda.1,165.5,163.9,192.1,1740,2923,2687
TMEM129,uc003gdn.2,71.4,59.2,69.3,1646,2346,2156
FGFR1OP2,uc001rhm.2,43.8,58.8,68.9,606,1418,1257
RNF6,uc010aak.2,56.3,70.4,82.5,2230,4804,4333
GTF2B,uc001dmo.3,46.3,75,87.8,965,2657,2379
CTSL1,uc004api.2,135.1,151.6,177.5,2369,4605,4151
UBA2,uc002nvk.2,100.6,133.1,155.8,2767,6357,5726
FAM84B,uc003yrz.1,41,16.2,19,843,546,505
TTPAL,uc002xmd.1,11,10.3,12,244,394,353
BRAF,uc003vwc.3,4.6,4.5,5.2,234,376,341
SIGMAR1,uc003zvb.2,130.5,120.9,141.5,1810,2831,2684
CCDC94,uc002lzv.3,39.7,36.6,42.9,805,1269,1187
SP2,uc002imk.2,12.8,9.2,10.7,503,605,568
NDUFB1,uc001yaf.2,87.9,114.8,134.3,405,916,818
PPP4R2,uc003dph.1,14.6,17.7,20.7,304,618,567
NUBP1,uc002daa.1,47.7,51.5,60.2,965,1758,1623
POGLUT1,uc003ecm.2,10,13,15.2,259,557,514
TMCC3,uc001tdj.2,6.5,5.6,6.5,207,290,267
CHD2,uc002bsp.2,34.9,25.6,29.9,4308,5154,4752
PLBD2,uc001tve.2,45.8,29.3,34.3,1729,1905,1748
ZRANB2,uc001dft.2,154,185.9,217.4,3232,6489,5846
GNAS,uc002xzw.2,231,241.4,282.3,13539,24073,21622
PRMT6,uc010ous.1,20.3,15.9,18.6,482,662,601
DIRC2,uc003efw.3,27.3,35.6,41.6,857,1916,1716
KDSR,uc010dpw.2,54.6,49,57.3,1199,1753,1631
ATP5A1,uc002lbr.1,480.7,499.8,584.3,7848,14589,13108
ERCC1,uc002pbv.2,133.9,120.2,140.5,2743,4302,3891
NMD3,uc003feb.1,42.3,50.4,58.9,1088,2254,2023
LSM7,uc002lvp.3,183.8,219,255.9,1162,2394,2170
NEXN,uc001dic.3,18.6,19.8,23.1,847,1476,1353
TFIP11,uc003acs.2,21.9,22,25.7,1191,2035,1866
BAX,uc002plf.1,202.2,136.2,159.1,2802,3239,2942
BRP44,uc001get.2,97.8,137.4,160.5,791,1875,1698
MTERF,uc003ulc.1,15.4,20.4,23.8,417,900,811
none,uc003klu.2,157.6,163.1,190.5,8404,14167,13068
CYB561D2,uc003dal.2,22.8,21.6,25.3,325,512,477
MIEN1,uc002hsq.2,145.9,138.1,161.3,1007,1692,1536
MPP6,uc003swx.2,17,22.5,26.3,620,1372,1229
VPS37A,uc003wxj.2,17.6,22,25.6,409,852,771
CAV2,uc003vid.2,102.6,146.5,171.1,1085,2605,2334
none,uc003eqi.2,106.3,125.4,146.4,463,907,827
POMP,uc001usf.2,273.1,416.2,486,2416,6115,5562
MOB4,uc002uun.3,49.3,65,75.9,513,1189,1061
RILPL2,uc001uey.1,60.4,51.1,59.7,789,1165,1069
HIST1H2AC,uc003ngm.2,35.7,10.6,12.3,246,136,116
KPNA1,uc003efe.2,38.5,51.1,59.6,1385,3044,2772
ZC3H10,uc001sjp.1,9.5,5,5.9,265,241,219
AOX1,uc002uvx.2,30.7,28.1,32.7,2679,4329,3812
TROVE2,uc001gsv.1,17.2,25.4,29.7,636,1536,1380
FAT4,uc003ifj.3,1.6,1.3,1.5,560,681,636
RNF114,uc002xux.2,91,93.4,108.9,1315,2286,2100
GSK3A,uc002otb.1,92.9,91.9,107.2,2904,4798,4468
RHOC,uc001ecp.1,1172.2,1215.3,1417.2,13436,24547,22132
STAMBP,uc002sjs.2,44.7,49.6,57.8,1230,2369,2112
GNA13,uc002jfc.2,23.1,22.8,26.6,574,955,853
SEC23IP,uc001leu.1,38.9,48,56,2614,5302,4862
SSH2,uc002heo.1,3.5,3.2,3.7,333,515,462
MRFAP1L1,uc003gjo.2,103.3,79.9,93.1,458,619,567
UQCR10,uc003agq.1,134.9,146.2,170.4,461,888,794
CORO2B,uc002arj.3,24.7,21.9,25.5,769,1153,1055
ATAD3B,uc001afv.2,14.2,16.4,19.1,458,912,835
HM13,uc002wwc.2,145.1,150.1,174.8,4032,7061,6419
COX7A2L,uc002rsk.2,149.4,167.8,195.5,1004,1929,1743
ZDHHC18,uc001bnb.2,20.7,18.8,21.9,517,805,730
TMEM208,uc002esi.2,165.5,202.4,235.8,1781,3784,3386
MTX1,uc001fjb.2,21.7,23.9,27.9,516,989,889
ATP5F1,uc001ebc.2,103.8,112,130.5,642,1304,1122
FXN,uc004aha.2,6.8,10.1,11.7,88,226,201
TMX4,uc002wmx.1,51,50.8,59.1,1161,1959,1772
